persistenceRef,dropshipAnimName,isEasterEgg
"faction_marauder","commander_MP_flyin_sarah",0
"faction_marauder","commander_MP_flyin_sarah_alt",0
"faction_marauder","commander_MP_flyin_sarah_silent",0
"faction_apex","commander_MP_flyin_blisk_betta",0
"faction_apex","commander_MP_flyin_blisk_born",0
"faction_apex","commander_MP_flyin_blisk_silent",0
"faction_vinson","commander_MP_flyin_ash_focus",0
"faction_vinson","commander_MP_flyin_ash_grateful",0
"faction_vinson","commander_MP_flyin_ash_silent",0
"faction_aces","commander_MP_flyin_barker",0
"faction_aces","commander_MP_flyin_barker_victory",0
"faction_aces","commander_MP_flyin_barker_conductor",0
"faction_64","commander_MP_flyin_gates_family",0
"faction_64","commander_MP_flyin_gates_sixfour",0
"faction_64","commander_MP_flyin_gates_silent",0
"faction_ares","commander_MP_flyin_marder",0
"faction_ares","commander_MP_flyin_marder_alt1",0
"faction_ares","commander_MP_flyin_marder_alt2",0
"faction_marvin","commander_MP_flyin_marvin_salute",0
"faction_marvin","commander_MP_flyin_marvin_highfive",0
"faction_marvin","commander_MP_flyin_marvin_greeter",0
"faction_marvin","commander_MP_flyin_marvin_freestyle",1
