level,startpoint,loadScreenIndex,hasDetente,spLog,spLogTitle,isLeft
"sp_grunt_arena","Pilot vs 3 Grunts (Trial)",0,0,"","",0
"sp_grunt_arena","Pilot and Leeched Spectre vs Grunts (Trial)",0,0,"","",0
"sp_grunt_arena","Pilot vs Spectre (Trial)",0,0,"","",0
"sp_grunt_arena","Arc Grenades vs Spectres and Grunts (Trial)",0,0,"","",0
"sp_grunt_arena","Learn to use Shield Drone (Trial)",0,0,"","",0
"sp_grunt_arena","Pilot vs Grunts (Small Arena)",0,0,"","",0
"sp_grunt_arena","Pilot vs Grunts (Big Arena)",0,0,"","",0
"sp_grunt_arena","Shield Drone vs Turrets (Trial)",0,0,"","",0
"sp_grunt_arena","Pilot vs Captains (Trial)",0,0,"","",0
"sp_grunt_arena","Use Turrets vs AI (Trial)",0,0,"","",0
"sp_grunt_arena","Turret Maze Part 1 (Trial)",0,0,"","",0
"sp_grunt_arena","Turret Maze Part 2 (Trial)",0,0,"","",0
"sp_grunt_arena","Learn to use Suicide Spectres (Trial)",0,0,"","",0
"sp_grunt_arena","Pilot vs Mixed AI (Big Arena)",0,0,"","",0
"sp_grunt_arena","Pilot and Titan vs Many AI (Big Arena)",0,0,"","",0
"sp_grunt_arena","Titan Wingman Arena (Big Arena)",0,0,"","",0
"sp_grunt_arena","Titan vs Many AI (Big Arena)",0,0,"","",0
"sp_grunt_arena","Pilot vs Super Spectre (Big Arena)",0,0,"","",0
"sp_grunt_arena","Pilot vs Super Spectres (Small Arena)",0,0,"","",0
"sp_grunt_arena","Titan vs Super Spectres (Big Arena)",0,0,"","",0
"sp_grunt_arena","Pilot vs Spectres (Big Arena)",0,0,"","",0
"sp_grunt_arena","Pilot vs Stalker progressive (Big Arena)",0,0,"","",0
"sp_grunt_arena","The End!",0,0,"","",0
"sp_ab_gym","gym_windmills",0,0,"","",0
"sp_ab_gym","gym_bongo_board",0,0,"","",0
"sp_ab_testfire2","room1",0,0,"","",0
"sp_ab_testfire2","room2",0,0,"","",0
"sp_ola_hub","topside",0,0,"","",0
"sp_ola_hub","hub_intro",0,0,"","",0
"sp_ola_hub","engine1_connect",0,0,"","",0
"sp_ola_spoke1","sp_ola_spoke1",0,0,"","",0
"sp_ola_spoke1","ola_spoke1_cleanroom",0,0,"","",0
"sp_ola_spoke1","ola_spoke1_powerrod_factory",0,0,"","",0
"sp_ola_spoke1","ola_spoke1_canyon",0,0,"","",0
"sp_ola_sewers","ola_sewers_drain",0,0,"","",0
"sp_ola_sewers","ola_sewers_sludge_test1",0,0,"","",0
"sp_ola_sewers","ola_sewers_sludge_test2",0,0,"","",0
"sp_ola_sewers","ola_sewers_sludge_test3",0,0,"","",0
"sp_ola_sewers","ola_sewers_sludge_test4",0,0,"","",0
"sp_ola_sewers","ola_sewers_sludge_bt_test1",0,0,"","",0
"sp_ola_canyon_test","ola_canyontest1",0,0,"","",0
"sp_ola_canyon_test","ola_canyontest2",0,0,"","",0
"sp_ola_canyon_test","ola_canyontest3",0,0,"","",0
"sp_ola_canyon_test","ola_canyontest4",0,0,"","",0
"sp_ola_canyon_test","dish_array",0,0,"","",0
"sp_ola_canyon_test","ledge_run",0,0,"","",0
"sp_ab_canyon_prowler","prowler_canyon_1",0,0,"","",0
"sp_ab_canyon_prowler","prowler_canyon_2",0,0,"","",0
"sp_ab_canyon_prowler","prowler_canyon_3",0,0,"","",0
