playerLevel,pilotWeapons,pilotOffhands,pilotKits,pilotTactical,titanChassis,burnCard,feature,callSign,callsignIcon,pilotExecutions,pilotCamo,factions,random
1,"mp_weapon_rspn101_og, mp_weapon_rspn101,mp_weapon_car,mp_weapon_lmg,mp_weapon_shotgun,mp_weapon_sniper,mp_weapon_smr,mp_weapon_semipistol,mp_weapon_autopistol,mp_weapon_defender,mp_weapon_mgl,mp_weapon_wingman_n","mp_weapon_frag_grenade,mp_weapon_grenade_emp,mp_weapon_thermite_grenade","pas_enemy_death_icons,pas_wallhang,pas_fast_health_regen,pas_power_cell","mp_ability_grapple,mp_ability_cloak,mp_weapon_grenade_sonar,mp_ability_shifter_super,grapple,geist,medium","ion,scorch,northstar","burnmeter_amped_weapons","cp,ctf,lts,ffa,fw,ps,tdm,at,aitdm,lf,communities,happy_hour, pilot_loadout_1, pilot_loadout_2, pilot_loadout_3, pilot_loadout_4, pilot_loadout_5, pilot_loadout_6,hunted,mfd,fd_easy,fd_normal","callsign_16_col","gc_icon_titanfall","execution_neck_snap","pilot_camo_skin00","faction_marauder",""
2,"mp_weapon_lstar","","","","","","","","","","","",""
3,"","","","mp_ability_heal,nomad","","","","","","","","",""
4,"","","","","","","coliseum","","","","","",""
5,"mp_weapon_epg","","","","","","","callsign_53_col","","","","",""
6,"","","","","","burnmeter_ticks","","","","","","",""
7,"","","","","ronin","","","","","","","",""
8,"mp_weapon_alternator_smg","","","","","","","","","","","",""
9,"","mp_weapon_grenade_gravity","","","","","","","","","","",""
10,"mp_weapon_shotgun_pistol","","","","","","","","","","pilot_camo_skin01","",""
11,"","","","","tone","","","","","","","",""
12,"","","","","","","","","","","","faction_apex",""
13,"mp_weapon_hemlok","","","","","","","","","","","",""
14,"","","","mp_weapon_deployable_cover,heavy","","","","","","","","",""
15,"","","","","legion","","","callsign_67_col","","","","",""
16,"mp_weapon_doubletake","","","","","","","","","","","",""
17,"","","","","","burnmeter_ap_turret_weapon","","","","","","",""
18,"","","pas_ordnance_pack","","","","","","","","","",""
19,"mp_weapon_mastiff","","","","","","","","","","","",""
20,"","","","","vanguard","","pilot_loadout_7","","","","pilot_camo_skin03","faction_vinson",""
21,"mp_weapon_arc_launcher","","","","","","","","","","","",""
22,"","mp_weapon_grenade_electric_smoke","","","","","","","","","","",""
23,"","","","","","burnmeter_maphack","","","","","","",""
24,"mp_weapon_esaw","","","","","","","","","","","",""
25,"","","pas_ads_hover","","","","","callsign_100_col","","","","",""
26,"","","","mp_ability_shifter,light","","","","","","","","",""
27,"mp_weapon_hemlok_smg","","","","","","","","","","","",""
28,"","","","","","burnmeter_emergency_battery","","","","","","",""
29,"","","pas_fast_embark","","","","","","","","","",""
30,"mp_weapon_softball","","","","","","pilot_loadout_8","","","","pilot_camo_skin02","",""
